Period,Scenario,Probability
0,min,0.333333333
0,most,0.333333333
0,max,0.333333333
1,min,0.333333333
1,most,0.333333333
1,max,0.333333333
2,min,0.333333333
2,most,0.333333333
2,max,0.333333333
3,min,0.333333333
3,most,0.333333333
3,max,0.333333333
4,min,0.333333333
4,most,0.333333333
4,max,0.333333333
5,min,0.333333333
5,most,0.333333333
5,max,0.333333333
6,min,0.333333333
6,most,0.333333333
6,max,0.333333333
7,min,0.333333333
7,most,0.333333333
7,max,0.333333333
8,min,0.333333333
8,most,0.333333333
8,max,0.333333333
9,min,0.333333333
9,most,0.333333333
9,max,0.333333333
10,min,0.333333333
10,most,0.333333333
10,max,0.333333333
11,min,0.333333333
11,most,0.333333333
11,max,0.333333333
12,min,0.333333333
12,most,0.333333333
12,max,0.333333333
13,min,0.333333333
13,most,0.333333333
13,max,0.333333333
14,min,0.333333333
14,most,0.333333333
14,max,0.333333333
15,min,0.333333333
15,most,0.333333333
15,max,0.333333333
16,min,0.333333333
16,most,0.333333333
16,max,0.333333333
17,min,0.333333333
17,most,0.333333333
17,max,0.333333333
18,min,0.333333333
18,most,0.333333333
18,max,0.333333333
19,min,0.333333333
19,most,0.333333333
19,max,0.333333333
20,min,0.333333333
20,most,0.333333333
20,max,0.333333333
21,min,0.333333333
21,most,0.333333333
21,max,0.333333333
22,min,0.333333333
22,most,0.333333333
22,max,0.333333333
23,min,0.333333333
23,most,0.333333333
23,max,0.333333333
24,min,0.333333333
24,most,0.333333333
24,max,0.333333333
25,min,0.333333333
25,most,0.333333333
25,max,0.333333333
26,min,0.333333333
26,most,0.333333333
26,max,0.333333333
27,min,0.333333333
27,most,0.333333333
27,max,0.333333333
28,min,0.333333333
28,most,0.333333333
28,max,0.333333333
29,min,0.333333333
29,most,0.333333333
29,max,0.333333333
30,min,0.333333333
30,most,0.333333333
30,max,0.333333333
31,min,0.333333333
31,most,0.333333333
31,max,0.333333333
32,min,0.333333333
32,most,0.333333333
32,max,0.333333333
33,min,0.333333333
33,most,0.333333333
33,max,0.333333333
34,min,0.333333333
34,most,0.333333333
34,max,0.333333333
35,min,0.333333333
35,most,0.333333333
35,max,0.333333333
