storage,period,scenario,flow
477468000,0,min,87480000
477468000,0,most,87480000
477468000,0,max,87480000
582660000,1,min,279396000
582660000,1,most,279396000
582660000,1,max,279396000
642060000,2,min,254988000
642060000,2,most,254988000
642060000,2,max,254988000
644544000,3,min,83268000
644544000,3,most,83268000
644544000,3,max,83268000
624888000,4,min,36288000
624888000,4,most,36288000
624888000,4,max,36288000
602316000,5,min,23220000
602316000,5,most,23220000
602316000,5,max,23220000
590868000,6,min,25812000
590868000,6,most,25812000
590868000,6,max,25812000
586008000,7,min,23544000
586008000,7,most,23544000
586008000,7,max,23544000
574884000,8,min,19656000
574884000,8,most,19656000
574884000,8,max,19656000
563220000,9,min,18144000
563220000,9,most,18144000
563220000,9,max,18144000
555012000,10,min,20736000
555012000,10,most,20736000
555012000,10,max,20736000
555984000,11,min,31428000
555984000,11,most,31428000
555984000,11,max,31428000
557172000,12,min,44496000
561060000,12,most,56700000
555228000,12,max,77544000
575856000,13,min,117180000
578232000,13,most,143964000
589572000,13,max,196344000
613440000,14,min,145584000
629640000,14,most,188892000
666144000,14,max,265032000
603180000,15,min,51840000
624780000,15,most,69552000
681048000,15,max,98820000
583524000,16,min,28836000
605556000,16,most,34344000
668520000,16,max,49248000
568404000,17,min,30456000
590652000,17,most,27108000
651564000,17,max,33588000
560412000,18,min,24516000
584388000,18,most,28836000
643248000,18,max,33804000
558576000,19,min,23868000
582120000,19,most,25380000
632556000,19,max,26676000
551448000,20,min,19656000
570996000,20,most,20196000
607716000,20,max,20628000
545616000,21,min,19764000
561492000,21,most,20304000
592272000,21,max,20628000
541512000,22,min,19548000
554472000,22,most,20304000
580824000,22,max,21276000
545940000,23,min,33588000
564516000,23,most,39636000
589572000,23,max,47088000
556308000,24,min,55296000
583956000,24,most,68472000
606528000,24,max,84348000
575964000,25,min,116640000
608796000,25,most,153360000
587952000,25,max,192888000
604908000,26,min,123984000
657936000,26,most,190728000
643464000,26,max,262116000
589032000,27,min,40716000
657504000,27,most,71172000
658368000,27,max,115668000
569484000,28,min,26028000
640980000,28,most,38448000
645948000,28,max,50760000
553284000,29,min,20304000
624456000,29,most,28080000
629640000,29,max,33480000
545616000,30,min,24192000
616572000,30,most,29160000
620568000,30,max,33804000
545292000,31,min,23436000
611928000,31,most,25488000
613980000,31,max,27648000
541404000,32,min,20088000
596268000,32,most,20196000
595728000,32,max,20088000
537624000,33,min,20304000
587304000,33,most,20304000
583092000,33,max,20304000
535788000,34,min,20196000
580500000,34,most,20304000
573264000,34,max,20196000
544212000,35,min,39636000
588276000,35,most,39636000
581472000,35,max,39636000
